t 1.278675, x -0.3034372, y -5.703512, z 49.67271, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.28266, x -0.3034372, y -5.703512, z 49.67271, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.286715, x -0.2600369, y -5.7902, z 49.66292, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.290701, x -0.2600369, y -5.7902, z 49.66292, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.29466, x -0.2600369, y -5.7902, z 49.66292, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.298771, x -0.2166082, y -5.963522, z 49.64262, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.302683, x -0.2166082, y -5.963522, z 49.64262, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.306571, x -0.2166082, y -5.963522, z 49.64262, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.310834, x -0.08657834, y -6.266662, z 49.60566, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.314597, x -0.08657834, y -6.266662, z 49.60566, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.318507, x -0.08656877, y -6.30995, z 49.60017, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
